Level nr;Code;Parent code;Label NL;Label FR;Label DE;Label EN
4;5530;553;Kampeerterreinen en kampeerauto- en caravanterreinen;Terrains de camping et parcs pour caravanes ou véhicules de loisirs;Campingplätze;Camping grounds, recreational vehicle parks and trailer parks
4;5590;559;Overige accommodatie;Autres hébergements;Sonstige Beherbergungsstätten;Other accommodation
4;5610;561;Restaurants en mobiele eetgelegenheden;Restaurants et services de restauration mobile;Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. Ä.;Restaurants and mobile food service activities
4;5621;562;Catering;Services des traiteurs;Event-Caterer;Event catering activities
4;5629;562;Overige eetgelegenheden;Autres services de restauration;Erbringung sonstiger Verpflegungsdienstleistungen;Other food service activities
4;5630;563;Drinkgelegenheden;Débits de boissons;Ausschank von Getränken;Beverage serving activities
4;5811;581;Uitgeverijen van boeken;Édition de livres;Verlegen von Bÿchern;Book publishing
4;5812;581;Uitgeverijen van adresboeken en mailinglijsten;Édition de répertoires et de fichiers d'adresses;Verlegen von Adressbÿchern und Verzeichnissen;Publishing of directories and mailing lists
4;5813;581;Uitgeverijen van kranten;Édition de journaux;Verlegen von Zeitungen;Publishing of newspapers
4;5814;581;Uitgeverijen van tijdschriften;Édition de revues et de périodiques;Verlegen von Zeitschriften;Publishing of journals and periodicals
4;5819;581;Overige uitgeverijen;Autres activités d'édition;Sonstiges Verlagswesen (ohne Software);Other publishing activities
4;5821;582;Uitgeverijen van computerspellen;Édition de jeux électroniques;Verlegen von Computerspielen;Publishing of computer games
4;5829;582;Overige uitgeverijen van software;Édition d'autres logiciels;Verlegen von sonstiger Software;Other software publishing
4;5911;591;Productie van films en video- en televisieprogramma's;Production de films cinématographiques, de vidéo et de programmes de télévision;Produktion von Filmen, Videofilmen und Fernsehprogrammen;Motion picture, video and television programme production activities
4;5912;591;Activiteiten in verband met films en video- en televisieprogramma's na de productie;Post-production de films cinématographiques, de vidéo et de programmes de télévision;Nachbearbeitung und sonstige Filmtechnik;Motion picture, video and television programme post-production activities
4;5913;591;Distributie van films en video- en televisieprogramma's;Distribution de films cinématographiques, de vidéo et de programmes de télévision;Filmverleih und -vertrieb (ohne Videotheken);Motion picture, video and television programme distribution activities
4;5914;591;Vertoning van films;Projection de films cinématographiques;Filmvorfÿhrung;Motion picture projection activities
4;5920;592;Maken van geluidsopnamen en uitgeverijen van muziekopnamen;Enregistrement sonore et édition musicale;"Tonstudios; Herstellung von Hörfunkbeiträgen; Verlegen von bespielten Tonträgern und Musikalien";Sound recording and music publishing activities
4;6010;601;Uitzenden van radioprogramma's;Diffusion de programmes radio;Hörfunkveranstalter;Radio broadcasting
4;6020;602;Programmeren en uitzenden van televisieprogramma's;Programmation de télévision et télédiffusion;Fernsehveranstalter;Television programming and broadcasting activities
4;6110;611;Draadgebonden telecommunicatie;Télécommunications filaires;Leitungsgebundene Telekommunikation;Wired telecommunications activities
4;6120;612;Draadloze telecommunicatie;Télécommunications sans fil;Drahtlose Telekommunikation;Wireless telecommunications activities
4;6130;613;Telecommunicatie via satelliet;Télécommunications par satellite;Satellitentelekommunikation;Satellite telecommunications activities
4;6190;619;Overige telecommunicatie;Autres activités de télécommunication;Sonstige Telekommunikation;Other telecommunications activities
4;6201;620;Ontwerpen en programmeren van computerprogramma's;Programmation informatique;Programmierungstätigkeiten;Computer programming activities
4;6202;620;Computerconsultancy-activiteiten;Conseil informatique;Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie;Computer consultancy activities
4;6203;620;Beheer van computerfaciliteiten;Gestion d'installations informatiques;Betrieb von Datenverarbeitungseinrichtungen fÿr Dritte;Computer facilities management activities
4;6209;620;Overige diensten op het gebied van informatietechnologie en computer;Autres activités informatiques;Erbringung von sonstigen Dienstleistungen der Informationstechnologie;Other information technology and computer service activities
4;6311;631;Gegevensverwerking, webhosting en aanverwante activiteiten;Traitement de données, hébergement et activités connexes;Datenverarbeitung, Hosting und damit verbundene Tätigkeiten;Data processing, hosting and related activities
4;6312;631;Webportalen;Portails Internet;Webportale;Web portals
4;6391;639;Persagentschappen;Activités des agences de presse;Korrespondenz- und Nachrichtenbÿros;News agency activities
4;6399;639;Overige dienstverlenende activiteiten op het gebied van informatie, n.e. g.;Autres services d'information n.c.a.;Erbringung von sonstigen Informationsdienstleistungen a. n. g.;Other information service activities n.e.c.
4;6411;641;Centrale banken;Activités de banque centrale;Zentralbanken;Central banking
4;6419;641;Overige geldscheppende financiële instellingen;Autres intermédiations monétaires;Kreditinstitute (ohne Spezialkreditinstitute);Other monetary intermediation
4;6420;642;Holdings;Activités des sociétés holding;Beteiligungsgesellschaften;Activities of holding companies
4;6430;643;Beleggingstrusts en -fondsen en vergelijkbare financiële instellingen;Fonds de placement et entités financières similaires;Treuhand- und sonstige Fonds und ähnliche Finanzinstitutionen;Trusts, funds and similar financial entities
4;6491;649;Financiële lease;Crédit-bail;Institutionen fÿr Finanzierungsleasing;Financial leasing
4;6492;649;Overige kredietverstrekking;Autre distribution de crédit;Spezialkreditinstitute;Other credit granting
4;6499;649;Overige financiële dienstverlening, exclusief verzekeringen en pensioenfondsen, n.e.g.;Autres activités des services financiers, hors assurance et caisses de retraite n.c.a.;Sonstige Finanzdienstleistungen, mit Ausnahme von Pensionskassen;Other financial service activities, except insurance and pension funding n.e.c.
4;6511;651;Levensverzekeringen;Assurance vie;Lebensversicherung;Life insurance
4;6512;651;Niet-levensverzekeringen;Assurance non-vie;Nichtlebensversicherungen;Non-life insurance
4;6520;652;Herverzekeringen;Réassurance;Rÿckversicherungen;Reinsurance
4;6530;653;Pensioenfondsen;Caisses de retraite;Pensionskassen und Pensionsfonds;Pension funding
4;6611;661;Beheer van financiële markten;Administration de marchés financiers;Effekten- und Warenbörsen;Administration of financial markets
4;6612;661;Effecten- en goederenhandel;Courtage de valeurs mobilières et de marchandises;Effekten- und Warenhandel;Security and commodity contracts brokerage
4;6619;661;Overige ondersteunende activiteiten in verband met financiële diensten, exclusief verzekeringen en pensioenfondsen;Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite;Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten;Other activities auxiliary to financial services, except insurance and pension funding
4;6621;662;Risicoanalisten en schadetaxateurs;Évaluation des risques et dommages;Risiko- und Schadensbewertung;Risk and damage evaluation
4;6622;662;Verzekeringsagenten en -makelaars;Activités des agents et courtiers d'assurances;Tätigkeit von Versicherungsmaklerinnen und -maklern;Activities of insurance agents and brokers
4;6629;662;Overige ondersteunende activiteiten in verband met verzekeringen en pensioenfondsen;Autres activités auxiliaires d'assurance et de caisses de retraite;Sonstige mit Versicherungsdienstleistungen und Pensionskassen verbundene Tätigkeiten;Other activities auxiliary to insurance and pension funding
4;6630;663;Vermogensbeheer;Gestion de fonds;Fondsmanagement;Fund management activities
4;6810;681;Handel in eigen onroerend goed;Activités des marchands de biens immobiliers;Kauf und Verkauf von eigenen Grundstÿcken, Gebäuden und Wohnungen;Buying and selling of own real estate
4;6820;682;Verhuur en exploitatie van eigen of geleasd onroerend goed;Location et exploitation de biens immobiliers propres ou loués;Vermietung, Verpachtung von eigenen oder geleasten Grundstÿcken, Gebäuden und Wohnungen;Renting and operating of own or leased real estate
4;6831;683;Bemiddeling in onroerend goed;Agences immobilières;Vermittlung von Grundstÿcken, Gebäuden und Wohnungen fÿr Dritte;Real estate agencies
4;6832;683;Beheer van onroerend goed voor een vast bedrag of op contractbasis;Administration de biens immobiliers pour compte de tiers;Verwaltung von Grundstÿcken, Gebäuden und Wohnungen fÿr Dritte;Management of real estate on a fee or contract basis
4;6910;691;Rechtskundige dienstverlening;Activités juridiques;Rechtsberatung;Legal activities
4;6920;692;Accountants, boekhouders en belastingconsulenten;Activités comptables;"Wirtschaftsprÿfung und Steuerberatung; Buchfÿhrung";"Accounting, bookkeeping and auditing activities; tax consultancy"
4;7010;701;Activiteiten van hoofdkantoren;Activités des sièges sociaux;Verwaltung und Fÿhrung von Unternehmen und Betrieben;Activities of head offices
4;7021;702;Adviesbureaus op het gebied van public relations en communicatie;Conseil en relations publiques et en communication;Public-Relations-Beratung;Public relations and communication activities
4;7022;702;"Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus op het gebied van bedrijfsvoering";Conseil pour les affaires et autres conseils de gestion;Unternehmensberatung;Business and other management consultancy activities
4;7111;711;Architecten;Activités d'architecture;Architekturbÿros;Architectural activities
4;7112;711;Ingenieurs en aanverwante technische adviseurs;Activités d'ingénierie et de conseils techniques;Ingenieurbÿros;Engineering activities and related technical consultancy
4;7120;712;Technische testen en toetsen;Activités de contrôle et analyses techniques;Technische, physikalische und chemische Untersuchung;Technical testing and analysis
4;7211;721;Speur- en ontwikkelingswerk op biotechnologisch gebied;Recherche-développement en biotechnologie;Forschung und Entwicklung im Bereich Biotechnologie;Research and experimental development on biotechnology
4;7219;721;Overig speur- en ontwikkelingswerk op natuurwetenschappelijk gebied;Recherche-développement en autres sciences physiques et naturelles;Sonstige Forschung und Entwicklung im Bereich Natur-, Ingenieur-, Agrarwissenschaften und Medizin;Other research and experimental development on natural sciences and engineering
4;7220;722;Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen;Recherche-développement en sciences humaines et sociales;Forschung und Entwicklung im Bereich Rechts-, Wirtschafts- und Sozialwissenschaften sowie im Bereich Sprach-, Kultur- und Kunstwissenschaften;Research and experimental development on social sciences and humanities
4;7311;731;Reclamebureaus;Activités des agences de publicité;Werbeagenturen;Advertising agencies
4;7312;731;Mediarepresentatie;Régie publicitaire de médias;Vermarktung und Vermittlung von Werbezeiten und Werbeflächen;Media representation
4;7320;732;Markt- en opinieonderzoekbureaus;Études de marché et sondages d'opinion;Markt- und Meinungsforschung;Market research and public opinion polling
4;7410;741;Gespecialiseerde designers;Activités spécialisées de design;Ateliers fÿr Textil-, Schmuck-, Grafik- u. ä. Design;Specialised design activities
4;7420;742;Fotografen;Activités photographiques;Fotografie und Fotolabors;Photographic activities
4;7430;743;Vertalers en tolken;Traduction et interprétation;ÿbersetzen und Dolmetschen;Translation and interpretation activities
4;7490;749;Overige gespecialiseerde wetenschappelijke en technische activiteiten, n.e.g.;Autres activités spécialisées, scientifiques et techniques n.c.a.;Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g.;Other professional, scientific and technical activities n.e.c.
4;7500;750;Veterinaire diensten;Activités vétérinaires;Veterinärwesen;Veterinary activities
4;7711;771;Verhuur en lease van personenauto's en lichte bestelwagens (kleiner dan 3,5 ton);Location et location-bail d'automobiles et d'autres véhicules automobiles légers (inférieur à 3,5 tonnes);Vermietung von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger;Renting and leasing of cars and light motor vehicles
4;7712;771;Verhuur en lease van vrachtwagens en overige motorvoertuigen (groter dan 3,5 ton);Location et location-bail de camions et d'autres véhicules automobiles lourds (supérieur à 3,5 ton);Vermietung von Kraftwagen mit einem Gesamtgewicht von mehr als 3,5 t;Renting and leasing of trucks
4;7721;772;Verhuur en lease van sport- en recreatieartikelen;Location et location-bail d'articles de loisirs et de sport;Vermietung von Sport- und Freizeitgeräten;Renting and leasing of recreational and sports goods
4;7722;772;Verhuur van videobanden, dvd's en cd's;Location de vidéocassettes et de disques vidéo;Videotheken;Renting of video tapes and disks
4;7729;772;Verhuur en lease van andere consumentenartikelen;Location et location-bail d'autres biens personnels et domestiques;Vermietung von sonstigen Gebrauchsgÿtern;Renting and leasing of other personal and household goods
4;7731;773;Verhuur en lease van landbouwmachines en -werktuigen;Location et location-bail de machines et d'équipements agricoles;Vermietung von landwirtschaftlichen Maschinen und Geräten;Renting and leasing of agricultural machinery and equipment
4;7732;773;Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg- en waterbouw;Location et location-bail de machines et d'équipements pour la construction;Vermietung von Baumaschinen und -geräten;Renting and leasing of construction and civil engineering machinery and equipment
4;7733;773;Verhuur en lease van kantoormachines, inclusief computers;Location et location-bail de machines de bureau et de matériel informatique;Vermietung von Bÿromaschinen, Datenverarbeitungsgeräten und -einrichtungen;Renting and leasing of office machinery and equipment (including computers)
4;7734;773;Verhuur en lease van schepen;Location et location-bail de matériels de transport par eau;Vermietung von Wasserfahrzeugen;Renting and leasing of water transport equipment
4;7735;773;Verhuur en lease van luchtvaartuigen;Location et location-bail de matériels de transport aérien;Vermietung von Luftfahrzeugen;Renting and leasing of air transport equipment
4;7739;773;Verhuur en lease van andere machines en werktuigen en andere materiële goederen, n.e.g.;Location et location-bail d'autres machines, équipements et biens matériels n.c.a.;Vermietung von sonstigen Maschinen, Geräten und beweglichen Sachen a. n. g.;Renting and leasing of other machinery, equipment and tangible goods n.e.c.
4;7740;774;Lease van intellectuele eigendom en vergelijkbare producten, met uitzondering van werken onder auteursrecht;Location-bail de propriété intellectuelle et de produits similaires, à l'exception des oeuvres soumises au droit d'auteur;Leasing von nichtfinanziellen immateriellen Vermögensgegenständen (ohne Copyrights);Leasing of intellectual property and similar products, except copyrighted works
4;7810;781;Arbeidsbemiddeling;Activités des agences de placement de main-d'oeuvre;Vermittlung von Arbeitskräften;Activities of employment placement agencies
4;7820;782;Uitzendbureaus;Activités des agences de travail temporaire;Befristete ÿberlassung von Arbeitskräften;Temporary employment agency activities
4;7830;783;Andere vormen van arbeidsbemiddeling;Autre mise à disposition de ressources humaines;Sonstige ÿberlassung von Arbeitskräften;Other human resources provision
4;7911;791;Reisbureaus;Activités des agences de voyage;Reisebÿros;Travel agency activities
4;7912;791;Reisorganisatoren;Activités des voyagistes;Reiseveranstalter;Tour operator activities
4;7990;799;Reserveringsbureaus en aanverwante activiteiten;Autres services de réservation et activités connexes;Erbringung sonstiger Reservierungsdienstleistungen;Other reservation service and related activities
4;8010;801;Particuliere beveiliging;Activités de sécurité privée;Private Wach- und Sicherheitsdienste;Private security activities
4;8020;802;Diensten in verband met beveiligingssystemen;Activités liées aux systèmes de sécurité;Sicherheitsdienste mithilfe von ÿberwachungs- und Alarmsystemen;Security systems service activities
4;8030;803;Opsporingsdiensten;Activités d'enquête;Detekteien;Investigation activities
4;8110;811;Diverse ondersteunende activiteiten ten behoeve van voorzieningen;Activités combinées de soutien lié aux bâtiments;Hausmeisterdienste;Combined facilities support activities
4;8121;812;Algemene reiniging van gebouwen;Nettoyage courant des bâtiments;Allgemeine Gebäudereinigung;General cleaning of buildings
4;8122;812;"Overige reiniging van gebouwen; industriële reiniging";"Autres activités de nettoyage des bâtiments; nettoyage industriel";Spezielle Reinigung von Gebäuden und Reinigung von Maschinen;Other building and industrial cleaning activities
4;8129;812;Andere reinigingsactiviteiten;Autres activités de nettoyage;Reinigung a. n. g.;Other cleaning activities
4;8130;813;Landschapsverzorging;Services d'aménagement paysager;Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen;Landscape service activities
4;8211;821;Diverse administratieve activiteiten ten behoeve van kantoren;Services administratifs combinés de bureau;Allgemeine Sekretariats- und Schreibdienste;Combined office administrative service activities
4;8219;821;Fotokopiëren, documentvoorbereiding en andere gespecialiseerde ondersteunende activiteiten ten behoeve van kantoren;Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;"Copy-Shops; Dokumentenvorbereitung und Erbringung sonstiger spezieller Sekretariatsdienste";Photocopying, document preparation and other specialised office support activities
4;8220;822;Callcenters;Activités des centres d'appels;Call Centers;Activities of call centres
4;8230;823;Organisatie van congressen en beurzen;Organisation de salons professionnels et de congrès;Messe-, Ausstellungs- und Kongressveranstalter;Organisation of conventions and trade shows
4;8291;829;Incasso- en kredietbureaus;Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;Inkassobÿros und Auskunfteien;Activities of collection agencies and credit bureaus
4;8292;829;Verpakkingsbedrijven;Activités de conditionnement;Abfÿllen und Verpacken;Packaging activities
4;8299;829;Overige zakelijke dienstverlening, n.e.g.;Autres activités de soutien aux entreprises n.c.a.;Erbringung sonstiger wirtschaftlicher Dienstleistungen fÿr Unternehmen und Privatpersonen a. n. g.;Other business support service activities n.e.c.
4;8411;841;Algemeen overheidsbestuur;Administration publique générale;Allgemeine öffentliche Verwaltung;General public administration activities
4;8412;841;Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en andere sociale dienstverlening, exclusief sociale verzekeringen;Administration publique (tutelle) de la santé, de la formation, de la culture et des autres services sociaux, à l'exclusion de la sécurité sociale;Öffentliche Verwaltung auf den Gebieten Gesundheitswesen, Bildung, Kultur und Sozialwesen;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security
4;8413;841;"Openbaar bestuur op het gebied van het bedrijfsleven; stimuleren van het bedrijfsleven";Administration publique (tutelle) des activités économiques;Wirtschaftsförderung, -ordnung und -aufsicht;Regulation of and contribution to more efficient operation of businesses
4;8421;842;Buitenlandse zaken;Affaires étrangères;Auswärtige Angelegenheiten;Foreign affairs
4;8422;842;Defensie;Défense;Verteidigung;Defence activities
4;8423;842;Justitie;Justice;Rechtspflege/Justiz;Justice and judicial activities
4;8424;842;Openbare orde en civiele veiligheid;Activités d'ordre public et de sécurité civile;Öffentliche Sicherheit und Ordnung;Public order and safety activities
4;8425;842;Brandweer;Services du feu;Feuerwehren;Fire service activities
4;8430;843;Verplichte sociale verzekeringen;Sécurité sociale obligatoire;Sozialversicherung;Compulsory social security activities
4;8510;851;Kleuteronderwijs;Enseignement maternel;Kindergärten und Vorschulen;Pre-primary education
4;8520;852;Lager onderwijs;Enseignement primaire;Grundschulen;Primary education
4;8531;853;Algemeen secundair onderwijs;Enseignement secondaire général;Allgemeinbildender Sekundarunterricht;General secondary education
4;8532;853;Technisch, beroeps- en buitengewoon secundair onderwijs;Enseignement secondaire technique, professionnel et spécialisé;Berufsbildende weiterfÿhrende Schulen;Technical and vocational secondary education
4;8541;854;Post-secundair niet-hoger onderwijs;Enseignement post-secondaire non supérieur;Post-sekundärer, nicht tertiärer Unterricht;Post-secondary non-tertiary education
4;8542;854;Hoger onderwijs;Enseignement supérieur;Tertiärer Unterricht;Tertiary education
4;8551;855;Sport- en recreatieonderwijs;Enseignement de disciplines sportives et d'activités de loisirs;Sport- und Freizeitunterricht;Sports and recreation education
4;8552;855;Cultureel onderwijs;Enseignement culturel;Kulturunterricht;Cultural education
4;8553;855;Autorijscholen en vlieg- en vaaronderricht;Enseignement de la conduite;Fahr- und Flugschulen;Driving school activities
4;8559;855;Overig onderwijs, n.e.g.;Enseignements divers;Sonstiger Unterricht a. n. g.;Other education n.e.c.
4;8560;856;Onderwijsondersteunende activiteiten;Activités de soutien à l'enseignement;Erbringung von Dienstleistungen fÿr den Unterricht;Educational support activities
4;8610;861;Ziekenhuizen;Activités hospitalières;Krankenhäuser;Hospital activities
4;8621;862;Huisartspraktijken;Activités des médecins généralistes;Arztpraxen fÿr Allgemeinmedizin;General medical practice activities
4;8622;862;Praktijken van specialisten;Activités des médecins spécialistes;Facharztpraxen;Specialist medical practice activities
4;8623;862;Tandartspraktijken;Pratique dentaire;Zahnarztpraxen;Dental practice activities
4;8690;869;Overige menselijke gezondheidszorg;Autres activités pour la santé humaine;Gesundheitswesen a. n. g.;Other human health activities
4;8710;871;Verpleeginstellingen met huisvesting;Activités de soins infirmiers résidentiels;Pflegeheime;Residential nursing care activities
4;8720;872;Instellingen met huisvesting voor personen met een mentale handicap of psychiatrische problemen en voor drugs- en alcoholverslaafden;Activités de soins résidentiels pour personnes avec un handicap mental, un problème psychiatrique ou toxicodépendantes;Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung u. Ä.;Residential care activities for mental retardation, mental health and substance abuse
4;8730;873;Instellingen met huisvesting voor ouderen en voor personen met een lichamelijke handicap;Activités de soins résidentiels pour personnes âgées ou avec un handicap moteur;"Altenheime; Alten- und Behindertenwohnheime";Residential care activities for the elderly and disabled
4;8790;879;Overige maatschappelijke dienstverlening met huisvesting;Autres activités sociales avec hébergement;Sonstige Heime (ohne Erholungs- und Ferienheime);Other residential care activities
4;8810;881;Maatschappelijke dienstverlening zonder huisvesting voor ouderen en lichamelijk gehandicapten;Action sociale sans hébergement pour personnes âgées et pour personnes avec un handicap moteur;Soziale Betreuung älterer Menschen und Behinderter;Social work activities without accommodation for the elderly and disabled
4;8891;889;Kinderopvang;Action sociale sans hébergement pour jeunes enfants;Tagesbetreuung von Kindern;Child day-care activities
4;8899;889;Overige maatschappelijke dienstverlening zonder huisvesting, n.e.g.;Autre action sociale sans hébergement n.c.a.;Sonstige soziale Dienstleistungen ohne Unterbringung a. n. g.;Other social work activities without accommodation n.e.c.
4;9001;900;Uitvoerende kunsten;Arts du spectacle vivant;Darstellende Kunst;Performing arts
4;9002;900;Ondersteunende activiteiten voor uitvoerende kunsten;Activités de soutien au spectacle vivant;Erbringung von Dienstleistungen fÿr die darstellende Kunst;Support activities to performing arts
4;9003;900;Scheppende kunsten;Création artistique;Schaffende Kunst;Artistic creation
4;9004;900;Exploitatie van zalen;Gestion de salles de spectacles;Betrieb von Kultur- und Unterhaltungseinrichtungen;Operation of arts facilities
4;9101;910;Bibliotheken en archieven;Gestion des bibliothèques et des archives;Bibliotheken und Archive;Library and archives activities
4;9102;910;Musea;Gestion des musées;Museen;Museums activities
4;9103;910;Exploitatie van monumenten en dergelijke toeristenattracties;Gestion des sites et monuments historiques et des attractions touristiques similaires;Betrieb von historischen Stätten und Gebäuden und ähnlichen Attraktionen;Operation of historical sites and buildings and similar visitor attractions
4;9104;910;Botanische tuinen, dierentuinen en natuurreservaten;Gestion des jardins botaniques et zoologiques et des réserves naturelles;Botanische und zoologische Gärten sowie Naturparks;Botanical and zoological gardens and nature reserves activities
4;9200;920;Loterijen en kansspelen;Organisation de jeux de hasard et d'argent;Spiel-, Wett- und Lotteriewesen;Gambling and betting activities
4;9311;931;Exploitatie van sportaccommodaties;Gestion d'installations sportives;Betrieb von Sportanlagen;Operation of sports facilities
4;9312;931;Sportclubs;Activités de clubs de sports;Sportvereine;Activities of sport clubs
4;9313;931;Fitnesscentra;Activités des centres de culture physique;Fitnesszentren;Fitness facilities
4;9319;931;Overige sport;Autres activités liées au sport;Erbringung von sonstigen Dienstleistungen des Sports;Other sports activities
4;9321;932;Kermisattracties en pret- en themaparken;Activités foraines, des parcs d'attractions et des parcs à thèmes;Vergnÿgungs- und Themenparks;Activities of amusement parks and theme parks
4;9329;932;Overige ontspanning en recreatie;Autres activités récréatives et de loisirs;Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g.;Other amusement and recreation activities
4;9411;941;Bedrijfs- en werkgeversorganisaties;Activités des organisations patronales et économiques;Wirtschafts- und Arbeitgeberverbände;Activities of business and employers membership organisations
4;9412;941;Beroepsorganisaties;Activités des organisations professionnelles;Berufsorganisationen;Activities of professional membership organisations
4;9420;942;Vakverenigingen;Activités des syndicats de salariés;Arbeitnehmervereinigungen;Activities of trade unions
4;9491;949;Religieuze organisaties;Activités des organisations religieuses et philosophiques;Kirchliche und sonstige religiöse Vereinigungen;Activities of religious organisations
4;9492;949;Politieke organisaties;Activités des organisations politiques;Politische Parteien und Vereinigungen;Activities of political organisations
4;9499;949;Overige verenigingen, n.e.g.;Activités des organisations associatives n.c.a.;Sonstige Interessenvertretungen und Vereinigungen a. n. g.;Activities of other membership organisations n.e.c.
4;9511;951;Reparatie van computers en randapparatuur;Réparation d'ordinateurs et d'équipements périphériques;Reparatur von Datenverarbeitungsgeräten und peripheren Geräten;Repair of computers and peripheral equipment
4;9512;951;Reparatie van communicatieapparatuur;Réparation d'équipements de communication;Reparatur von Telekommunikationsgeräten;Repair of communication equipment
4;9521;952;Reparatie van consumentenelektronica;Réparation de produits électroniques grand public;Reparatur von Geräten der Unterhaltungselektronik;Repair of consumer electronics
4;9522;952;Reparatie van huishoudapparaten en van werktuigen voor gebruik in huis en tuin;Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;Reparatur von elektrischen Haushaltsgeräten und Gartengeräten;Repair of household appliances and home and garden equipment
4;9523;952;Reparatie van schoeisel en lederwaren;Réparation de chaussures et d'articles en cuir;Reparatur von Schuhen und Lederwaren;Repair of footwear and leather goods
4;9524;952;Reparatie van meubelen en stoffering;Réparation de meubles et d'équipements du foyer;Reparatur von Möbeln und Einrichtungsgegenständen;Repair of furniture and home furnishings
4;9525;952;Reparatie van uurwerken en sieraden;Réparation d'articles d'horlogerie et de bijouterie;Reparatur von Uhren und Schmuck;Repair of watches, clocks and jewellery
4;9529;952;Reparatie van andere consumentenartikelen;Réparation d'autres biens personnels et domestiques;Reparatur von sonstigen Gebrauchsgÿtern;Repair of other personal and household goods
4;9601;960;Wassen en (chemisch) reinigen van textiel en bontproducten;Blanchisserie-teinturerie;Wäscherei und chemische Reinigung;Washing and (dry-)cleaning of textile and fur products
4;9602;960;Haar- en schoonheidsverzorging;Coiffure et soins de beauté;Frisör- und Kosmetiksalons;Hairdressing and other beauty treatment
4;9603;960;Begrafeniswezen;Services funéraires;Bestattungswesen;Funeral and related activities
4;9604;960;Sauna's, solaria, baden enz.;Entretien corporel;Saunas, Solarien, Bäder u. Ä.;Physical well-being activities
4;9609;960;Overige persoonlijke diensten, n.e.g.;Autres services personnels n.c.a.;Erbringung von sonstigen Dienstleistungen a. n. g.;Other personal service activities n.e.c.
4;9700;970;Huishoudens als werkgever van huishoudelijk personeel;Activités des ménages en tant qu'employeurs de personnel domestique;Private Haushalte mit Hauspersonal;Activities of households as employers of domestic personnel
4;9810;981;Niet-gedifferentieerde productie van goederen door particuliere huis- houdens voor eigen gebruik;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Herstellung von Waren durch private Haushalte fÿr den Eigenbedarf ohne ausgeprägten Schwerpunkt;Undifferentiated goods-producing activities of private households for own use
4;9820;982;Niet-gedifferentieerde productie van diensten door particuliere huis-houdens voor eigen gebruik;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Erbringungen von Dienstleistungen durch private Haushalte fÿr den Eigenbedarf ohne ausgeprägten Schwerpunkt;Undifferentiated service-producing activities of private households for own use
4;9900;990;Extraterritoriale organisaties en lichamen;Activités des organisations et organismes extraterritoriaux;Exterritoriale Organisationen und Körperschaften;Activities of extraterritorial organisations and bodies
5;;;Subklassen;Sous-classes;Unterklassen;Subclasses
5;01110;0111;Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Anbau von Getreide (ohne Reis), Hÿlsenfrÿchten und Ölsaaten;
5;01120;0112;Teelt van rijst;Culture du riz;Anbau von Reis;
5;01130;0113;Teelt van groenten, meloenen en wortel- en knolgewassen;Culture de légumes, de melons, de racines et de tubercules;Anbau von Gemÿse und Melonen sowie Wurzeln und Knollen;
5;01140;0114;Teelt van suikerriet;Culture de la canne à sucre;Anbau von Zuckerrohr;
5;01150;0115;Teelt van tabak;Culture du tabac;Anbau von Tabak;
5;01160;0116;Teelt van vezelgewassen;Culture de plantes à fibres;Anbau von Faserpflanzen;
5;01191;0119;Teelt van bloemen;Culture de fleurs;Blumenbau;
5;01199;0119;Teelt van andere eenjarige gewassen, n.e.g.;Autres cultures non permanentes n.c.a.;Sonstiger Anbau einjähriger Pflanzen, a.n.g.;
5;01210;0121;Teelt van druiven;Culture de la vigne;Weinanbau;
5;01220;0122;Teelt van tropisch en subtropisch fruit;Culture de fruits tropicaux et subtropicaux;Anbau von tropischen und subtropischen Frÿchten;
5;01230;0123;Teelt van citrusvruchten;Culture d'agrumes;Anbau von Zitrusfrÿchten;
5;01240;0124;Teelt van pit- en steenvruchten;Culture de fruits à pépins et à noyau;Anbau von Kern- und Steinobst;
5;01250;0125;Teelt van andere boomvruchten, kleinfruit en noten;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Anbau von sonstigem Obst und Nÿssen;
